Department,Firstname,Lastname,Username,Email,Course,Lesson,Lesson Viewed,Lesson Completed,Mastery,BestAttempt,AttemptDate,AttemptCount
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PPL-500-01,YES,YES,100,100,10/03/2017 13:53,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PPL-501-01,YES,YES,100,100,10/03/2017 14:03,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PPL-502-01,YES,YES,100,100,10/03/2017 14:22,3
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-305-01,YES,YES,100,100,10/03/2017 14:32,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-306-01,YES,YES,100,100,10/03/2017 14:38,1
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-307-01,YES,YES,100,100,10/03/2017 14:53,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-314-01,YES,YES,100,100,10/03/2017 13:03,1
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-700-01,YES,YES,100,100,10/03/2017 15:04,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-710-01,YES,YES,100,100,10/03/2017 15:10,1
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-720-01,YES,YES,100,100,10/03/2017 15:19,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-721-01,YES,YES,100,100,10/03/2017 15:25,1
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-730-01,YES,YES,100,100,10/03/2017 15:38,3
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-740-01,YES,YES,100,100,10/03/2017 15:56,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-741-01,YES,YES,100,100,10/03/2017 16:04,2
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-760-01,YES,YES,100,100,10/03/2017 16:15,1
2017 Year 1,aa,bb,X00147867,cc,2017Y01SC01,PSY-761-01,YES,YES,100,100,10/03/2017 16:28,3
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PPL-500-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PPL-501-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PPL-502-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-305-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-306-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-307-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-314-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-700-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-710-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-720-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-721-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-730-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-740-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-741-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-760-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00150028,cc,2017Y01SC01,PSY-761-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PPL-500-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PPL-501-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PPL-502-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-305-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-306-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-307-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-314-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-700-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-710-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-720-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-721-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-730-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-740-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-741-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-760-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00149226,cc,2017Y01SC01,PSY-761-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PPL-500-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PPL-501-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PPL-502-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-305-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-306-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-307-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-314-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-700-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-710-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-720-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-721-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-730-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-740-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-741-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-760-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00146162,cc,2017Y01SC01,PSY-761-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PPL-500-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PPL-501-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PPL-502-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-305-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-306-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-307-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-314-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-700-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-710-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-720-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-721-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-730-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-740-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-741-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-760-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00144866,cc,2017Y01SC01,PSY-761-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PPL-500-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PPL-501-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PPL-502-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PSY-305-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PSY-306-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PSY-307-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PSY-314-01,NO,NO,100,,,
2017 Year 1,aa,bb,X00145108,cc,2017Y01SC01,PSY-700-01,NO,NO,100,,,
